Zeiss,F580,Schwerdtfeger & Gräf 1994,25.5192,0.5117,0.2204,0.0014,1
Woehlk,HydroFlexRP,Schwerdtfeger & Gräf 1994,14.3522,2.0599,0.1467,16.4934,1
Rodenstock,L660,Schwerdtfeger & Gräf 1994,17.5547,4.3411,0.1083,3.2792,1
Corning,CPF550S,Schwerdtfeger & Gräf 1994,20.4818,1.6341,0.1971,10.0309,1
Zeiss,F580,Plum & Gerull 2008 - Kantenfilter und seitlicher Blendschutz – ein praktischer Ratgeber,25.4291,3.2151,0.1870,17.2556,1
Zeiss,F560,Plum & Gerull 2008,39.2867,5.9509,0.1396,14.3202,1
Zeiss,F540,Plum & Gerull 2008,52.4196,12.9172,0.1083,12.4717,1
Zeiss,F90,Plum & Gerull 2008,4.5725,2.1805,0.0970,67.7980,1
Zeiss,F80,Plum & Gerull 2008,9.1555,2.6809,0.1196,41.0476,1
Zeiss,F60,Plum & Gerull 2008,22.3729,6.2921,0.1088,31.5347,1
Rodenstock,L660 90%,Plum & Gerull 2008,10.0290,2.3101,0.1206,22.2280,1
Rodenstock,L660 80%,Plum & Gerull 2008,16.4743,3.8643,0.1153,19.8999,1
Multilens,550 POL,Plum & Gerull 2008,8.6974,1.4987,0.1871,25.3281,1
Multilens,527 POL,Plum & Gerull 2008,16.3760,4.6809,0.1139,29.1092,1
Multilens,511 POL,Plum & Gerull 2008,21.7226,8.1552,0.0908,27.8495,1
Multilens,550 Transitions unbelichtet,Plum & Gerull 2008,19.0527,2.4208,0.2070,16.8627,1
Multilens,550 Transitions belichtet,Plum & Gerull 2008,41.4986,5.4350,0.1398,9.9501,1
Multilens,527 Transitions unbelichtet,Plum & Gerull 2008,50.8074,10.7625,0.1138,11.2236,1
Multilens,527 Transitions belichtet,Plum & Gerull 2008,25.7618,14.7751,0.0658,45.0928,1
Multilens,511 Transitions unbelichtet,Plum & Gerull 2008,73.1100,46.6762,0.0738,25.4660,1
Multilens,511 Transitions belichtet,Plum & Gerull 2008,12.8060,5.3280,0.1106,48.9961,1
Multilens,550,Plum & Gerull 2008,26.8679,17.8564,0.0629,66.5789,1
Multilens,527,Plum & Gerull 2008,13.2076,2.2489,0.1528,18.0623,1
Multilens,511,Plum & Gerull 2008,17.0724,3.8996,0.1264,13.9912,1
Multilens,450POL,Plum & Gerull 2008,14.2849,2.9789,0.1398,20.6945,1
Multilens,450,Plum & Gerull 2008,31.8428,2.0125,0.1814,3.3020,1
Multilens,Transitions450 unbelichtet,Plum & Gerull 2008,45.6825,5.7722,0.1385,5.3675,1
Multilens,450 Transitions belichtet,Plum & Gerull 2008,59.7319,15.2845,0.1072,8.6987,1
Essilor,Orma RT 85%,Plum & Gerull 2008,33.5873,16.8921,0.0764,34.6017,1
Essilor,Orma RT 50%,Plum & Gerull 2008,82.0500,52.9264,0.0708,30.8848,1
Eschenbach,550POL,Plum & Gerull 2008,20.2958,2.9967,0.1739,23.8355,1
Eschenbach,527POL,Plum & Gerull 2008,34.1912,5.7091,0.1328,18.3916,1
Eschenbach,511 POL,Plum & Gerull 2008,44.4274,10.7256,0.1086,14.8334,1
Eschenbach,527,Plum & Gerull 2008,19.5618,1.5136,0.1576,4.2188,1
Eschenbach,511,Plum & Gerull 2008,28.8591,1.4007,0.1994,3.5617,1
Eschenbach,450,Plum & Gerull 2008,14.2693,6.5972,0.0913,39.6130,1
3M,2846 red-orange,3M 2846 red-orange Technical Fact Sheet,6.1494,0.5396,0.2999,8.2629,1
Brain Power Inc.,Golfer Advantage,BPI Therapeuthic Tint brochure 2006,49.5907,4.1178,0.1420,1.1149,1
Brain Power Inc.,Golfer Blu,BPI Therapeuthic Tint brochure 2006,76.4596,50.1221,0.0520,60.0953,1
Brain Power Inc.,Tennis Tint,BPI Therapeuthic Tint brochure 2006,81.4975,46.6956,0.0812,15.4627,1
Brain Power Inc.,Winter Sun,BPI Therapeuthic Tint brochure 2006,45.3318,36.9042,0.0332,79.5935,1
NoIR,N/A - amber lens,Burkhart & Phelps 2009,23.1691,15.7236,0.0574,62.7414,1
DAO-AG,0C1,https://www.dao-ag.de/kantenfilter.html,7.0725,3.1611,0.0988,27.9496,1
DAO-AG,L41-A,https://www.dao-ag.de/kantenfilter.html,64.6111,19.4720,0.1005,4.5006,1
DAO-AG,L41-B,https://www.dao-ag.de/kantenfilter.html,71.6764,34.5533,0.0756,36.1065,1
DAO-AG,L41-C,https://www.dao-ag.de/kantenfilter.html,53.3853,9.2510,0.1207,2.4999,1
DAO-AG,L400,https://www.dao-ag.de/kantenfilter.html,52.5850,9.4045,0.1225,3.9475,1
DAO-AG,L450,https://www.dao-ag.de/kantenfilter.html,48.1435,6.0074,0.1337,1.9288,1
DAO-AG,L480-50,https://www.dao-ag.de/kantenfilter.html,44.8134,5.3211,0.1396,2.6394,1
DAO-AG,L480-75,https://www.dao-ag.de/kantenfilter.html,50.1721,17.3484,0.0934,23.1440,1
DAO-AG,L480-90,https://www.dao-ag.de/kantenfilter.html,33.3168,5.2589,0.1259,5.9110,1
DAO-AG,L500-H,https://www.dao-ag.de/kantenfilter.html,34.3688,1.9753,0.1781,2.6981,1
DAO-AG,L500,https://www.dao-ag.de/kantenfilter.html,18.3754,0.8609,0.2373,3.4706,1
DAO-AG,L511-H,https://www.dao-ag.de/kantenfilter.html,72.5520,30.5603,0.0899,8.9909,1
DAO-AG,L540-50,https://www.dao-ag.de/kantenfilter.html,56.9532,31.8395,0.0671,70.5673,1
DAO-AG,L540-70,https://www.dao-ag.de/kantenfilter.html,30.1826,11.3672,0.1092,60.2780,1
DAO-AG,L550,https://www.dao-ag.de/kantenfilter.html,59.9886,40.6943,0.0266,96.4010,1
DAO-AG,L585,https://www.dao-ag.de/kantenfilter.html,56.7125,67.3628,0.0345,94.1263,1
LowBlueLights,Blue Light Blocking Glasses-Sleep Glasses,Esaki et al. 2016,48.0121,14.3012,0.1009,7.4549,1
Brain Power Inc.,FL-41 Tint,Herz & Yen 2005,44.9682,29.7637,0.0722,61.2183,1
Eschenbach,Wellness PROTECT wp15,Krueger Bullmann & Drechsler 2017,57.0605,44.0054,0.0382,86.7816,1
JINS CO. LTD,Screen Clear,Lin et al. 2016,14.9804,0.1821,0.2778,0.4788,1
JINS CO. LTD,Screen Night,Lin et al. 2016,6.4782,0.1586,0.2749,1.4851,1
NoIR,60,http://noirmedical.com/,29.5358,1.2409,0.1975,0.9245,1
NoIR,68,http://noirmedical.com/,13.5588,0.5877,0.2127,1.9568,1
NoIR,533,http://noirmedical.com/,14.8153,10.2021,0.0490,77.9583,1
NoIR,553,http://noirmedical.com/,86.9902,72.8604,0.0310,77.2984,1
NoIR,570,http://noirmedical.com/,76.8735,47.6797,0.0617,51.1140,1
Offenhäuser + Berger GmbH,Laserschutzbrille 0000001012726 red,https://www.offenhaeuser-berger.de/laserschutzbrillen.php,25.7977,0.9831,0.1940,0.6994,1
Rosenblum et al 2000,N/A - filter albino patients,Rosenblum et al. 2000,6.7331,0.7887,0.2880,12.7738,1
Rosenblum et al 2000,N/A - filter aphakic patients,Rosenblum et al. 2000,84.3176,47.3478,0.0811,16.2890,1
Rosenblum et al 2000,N/A - filter initial cataract patients,Rosenblum et al. 2000,49.2990,6.1812,0.1372,1.8938,1
Eschenbach,Solar Shield Ultra,Sasseville Paquet & Hébert 2006,39.0206,3.0501,0.1625,1.7391,1
Chron-Optic inc.,N/A - orange lens,Sasseville et al. 2009,22.8034,0.7541,0.2300,1.9629,1
Chron-Optic inc.,N/A - orange lens,Sasseville & Hébert 2010,4.2385,0.1041,0.2621,1.5352,1
SomniLight,Amber Sleep Glasses,https://www.somnilight.com/bipolar-glasses-and-bipolar-insomnia.html,9.1291,0.6462,0.2295,12.3400,1
SwissLens,SLF511,https://www.swisslens.ch/de/produkte/formstabile-kontaktlinsen/gp-therapy/,9.4177,4.1230,0.1014,43.7430,1
Eschenbach,550,Plum & Gerull 2008,51.9415,8.0871,0.1292,2.8712,2
DAO-AG,L527-H,https://www.dao-ag.de/kantenfilter.html,43.6253,2.5857,0.1575,1.2534,2
DAO-AG,L527,https://www.dao-ag.de/kantenfilter.html,44.4750,3.2392,0.1506,1.9878,2
DAO-AG,LC1-H,https://www.dao-ag.de/kantenfilter.html,61.1397,9.4711,0.1150,0.1923,2
NoIR,72,http://noirmedical.com/,26.7710,0.6472,0.2227,1.3926,2
NoIR,90,http://noirmedical.com/,8.0956,0.5471,0.1130,1.1138,2
NoIR,93,http://noirmedical.com/,25.2588,0.8181,0.1849,0.5973,2
NoIR,465,http://noirmedical.com/,60.8957,9.4435,0.1150,0.4318,2
NoIR,505,http://noirmedical.com/,51.3823,5.6757,0.1326,5.7075,2
Offenhäuser + Berger GmbH,Laserschutzbrille 0000003013447 red-orange,https://www.offenhaeuser-berger.de/laserschutzbrillen.php,40.5230,2.3144,0.1577,0.5983,2
SwissLens,SLF527,https://www.swisslens.ch/de/produkte/formstabile-kontaktlinsen/gp-therapy/,33.5922,1.4355,0.1868,0.4349,2
Zeiss,Skylet Sport,Plum & Gerull 2008,10.3806,5.1131,0.0835,59.3080,3
Zeiss,Skylet Road,Plum & Gerull 2008,19.9332,11.3573,0.0668,55.3514,4
Zeiss,Skylet Fun,Plum & Gerull 2008,29.0927,10.2707,0.0937,45.3812,6
Eschenbach,450 POL,Plum & Gerull 2008,19.4494,1.3319,0.1588,2.4565,4
Corning,Corning 550,Plum & Gerull 2008,29.5572,22.9568,0.0365,78.2768,3
Corning,Corning 527,Plum & Gerull 2008,30.8022,36.4396,0.0133,93.9193,3
Corning,Corning 511,Plum & Gerull 2008,34.3899,55.9237,0.0736,143.4388,3
Brain Power Inc.,DiamondDye 5 40nm,BPI Therapeuthic Tint brochure 2006,42.4646,20.6495,0.0832,81.5555,3
Brain Power Inc.,DiamondDye 550nm,BPI Therapeuthic Tint brochure 2006,19.8555,9.0602,0.1126,34.6753,3
Brain Power Inc.,Driver Tint,BPI Therapeuthic Tint brochure 2006,25.8911,15.5961,0.0856,51.0094,3
Brain Power Inc.,Euro-Brown,BPI Therapeuthic Tint brochure 2006,86.3913,63.7989,0.0551,50.7550,3
Brain Power Inc.,Golf Tint,BPI Therapeuthic Tint brochure 2006,81.0978,43.4862,0.0832,13.4002,6
Brain Power Inc.,Monochrome 600nm,BPI Therapeuthic Tint brochure 2006,83.1589,77.5314,0.0110,95.1715,5
Brain Power Inc.,Skeet Tint,BPI Therapeuthic Tint brochure 2006,71.6415,59.8414,0.0241,95.4436,5
Brain Power Inc.,Ski Tint,BPI Therapeuthic Tint brochure 2006,47.0418,26.9488,0.0686,82.8088,5
Brain Power Inc.,Sport Tint,BPI Therapeuthic Tint brochure 2006,93.3003,91.5424,0.0072,94.4955,5
DAO-AG,L511,https://www.dao-ag.de/kantenfilter.html,42.8169,2.7163,0.1543,0.8791,6
Yamamoto Kogaku Co. Ltd,O 360S UV Orange,Esaki et al. 2017,94.0053,87.6362,0.0280,77.0327,5
SAF-T-CURE,ORANGE UV FILTER GLASSES,Figuero & Rea 2010,71.6362,50.0923,0.0484,65.5996,5
Ultravision International,Soft contact lenses - orange,Gimenez et al. 2014,86.5661,69.5331,0.0427,63.8433,4
Hoggan et al 2015,N/A - 480nm notch filter,Hoggan et al. 2015,84.4040,49.2139,0.0835,11.1623,3
Hoggan et al 2015,N/A - 620nm notch filter,Hoggan et al. 2015,47.4496,3.5194,0.1460,0.2434,3
Offenhäuser + Berger GmbH,Laserschutzbrille 2054110000002 yellow,Kayumov et al. 2005,62.3943,14.9150,0.1017,23.2971,5
Multilens,LLR Night Cover,Technical fact sheet Multilens Night Cover,77.6994,36.2248,0.0816,21.1166,3
NoIR,47,http://noirmedical.com/,27.7655,4.3609,0.1219,3.5581,3
NoIR,50,http://noirmedical.com/,23.7976,7.3376,0.1057,42.9968,3
Offenhäuser + Berger GmbH,Laserschutzbrille 0000001012731 orange,https://www.offenhaeuser-berger.de/laserschutzbrillen.php,44.8681,6.2694,0.1363,4.0493,6
Offenhäuser + Berger GmbH,Laserschutzbrille 2054110000002 yellow,https://www.offenhaeuser-berger.de/laserschutzbrillen.php,25.8565,1.0826,0.1927,1.7934,6
Honeywell Uvex,SCT Orange (Ultraspec 2000),Ostrin Abbott & Queener 2017 - supplementary material,28.5187,1.1661,0.2020,2.4981,6
Honeywell Uvex,SCT Orange,Sasseville et al. 2009,23.1448,4.9193,0.1559,11.3337,6
SomniLight,Migraine Relief Lenses,https://www.somnilight.com/photophobia-glasses-and-migraine-glasses.html,44.8945,13.3306,0.1092,34.6108,6
SwissLens,SLF450,https://www.swisslens.ch/de/produkte/formstabile-kontaktlinsen/gp-therapy/,71.8729,36.0079,0.0777,29.5855,4
